"星","https://www.wanikani.com/kanji/%E6%98%9F","日", "Sun"
"智","https://www.wanikani.com/kanji/%E6%99%BA","日", "Sun"
"空","https://www.wanikani.com/kanji/%E7%A9%BA","儿", "Legs"
"孔","https://www.wanikani.com/kanji/%E5%AD%94","子", "Child"
"蛮","https://www.wanikani.com/kanji/%E8%9B%AE","虫", "Insect"
"恩","https://www.wanikani.com/kanji/%E6%81%A9","心", "Heart"
"接","https://www.wanikani.com/kanji/%E6%8E%A5","立", "Stand"
"践","https://www.wanikani.com/kanji/%E8%B7%B5","Bar"
"相","https://www.wanikani.com/kanji/%E7%9B%B8","木", "Tree"
"交","https://www.wanikani.com/kanji/%E4%BA%A4","亠", "Lid"
"両","https://www.wanikani.com/kanji/%E4%B8%A1","一", "Ground"
"柴","https://www.wanikani.com/kanji/%E6%9F%B4","木", "Tree"
"夕","https://www.wanikani.com/kanji/%E5%A4%95","夕", "Evening"
"節","https://www.wanikani.com/kanji/%E7%AF%80","竹", "Bamboo"
"併","https://www.wanikani.com/kanji/%E4%BD%B5","ｲ", "Leader"
"来","https://www.wanikani.com/kanji/%E6%9D%A5","一", "Ground"
"唄","https://www.wanikani.com/kanji/%E5%94%84","貝", "Clam"
"員","https://www.wanikani.com/kanji/%E5%93%A1","貝", "Clam"
"太","https://www.wanikani.com/kanji/%E5%A4%AA","丶", "Drop"
"乾","https://www.wanikani.com/kanji/%E4%B9%BE","Gun"
"肌","https://www.wanikani.com/kanji/%E8%82%8C","月", "Moon"
"択","https://www.wanikani.com/kanji/%E6%8A%9E","扌", "Nailbat"
"韓","https://www.wanikani.com/kanji/%E9%9F%93","Morning"
"油","https://www.wanikani.com/kanji/%E6%B2%B9","由", "Reason"
"斬","https://www.wanikani.com/kanji/%E6%96%AC","車", "Car"
"譜","https://www.wanikani.com/kanji/%E8%AD%9C","言", "Say"
"菊","https://www.wanikani.com/kanji/%E8%8F%8A","艹", "Flowers"
"編","https://www.wanikani.com/kanji/%E7%B7%A8","糸", "Thread"
"炉","https://www.wanikani.com/kanji/%E7%82%89","戸", "Door"
"述","https://www.wanikani.com/kanji/%E8%BF%B0","丶", "Drop"
"携","https://www.wanikani.com/kanji/%E6%90%BA","扌", "Nailbat"
"鶏","https://www.wanikani.com/kanji/%E9%B6%8F","鳥", "Bird"
"離","https://www.wanikani.com/kanji/%E9%9B%A2","隹", "Turkey"
"豪","https://www.wanikani.com/kanji/%E8%B1%AA","口", "Mouth"
"章","https://www.wanikani.com/kanji/%E7%AB%A0","立", "Stand"
"静","https://www.wanikani.com/kanji/%E9%9D%99","争", "Conflict"
"値","https://www.wanikani.com/kanji/%E5%80%A4","L", "Lion"
"謹","https://www.wanikani.com/kanji/%E8%AC%B9","堇", "Kiln"
"在","https://www.wanikani.com/kanji/%E5%9C%A8","Stick"
"三","https://www.wanikani.com/kanji/%E4%B8%89","二", "Two"
"置","https://www.wanikani.com/kanji/%E7%BD%AE","罒", "Sauron"
"塊","https://www.wanikani.com/kanji/%E5%A1%8A","土", "Grave"
"殿","https://www.wanikani.com/kanji/%E6%AE%BF","共", "Together"
"狭","https://www.wanikani.com/kanji/%E7%8B%AD","夫", "Husband"
"疲","https://www.wanikani.com/kanji/%E7%96%B2","疒", "Sick"
"躍","https://www.wanikani.com/kanji/%E8%BA%8D","隹", "Turkey"
"瞭","https://www.wanikani.com/kanji/%E7%9E%AD","尞", "Ox"
"落","https://www.wanikani.com/kanji/%E8%90%BD","艹", "Flowers"
"稿","https://www.wanikani.com/kanji/%E7%A8%BF","高", "Tall"
"認","https://www.wanikani.com/kanji/%E8%AA%8D","心", "Heart"
"瞬","https://www.wanikani.com/kanji/%E7%9E%AC","舛", "Protester"
"卒","https://www.wanikani.com/kanji/%E5%8D%92","人", "Person"
"票","https://www.wanikani.com/kanji/%E7%A5%A8","示", "Jackhammer"
"崖","https://www.wanikani.com/kanji/%E5%B4%96","厂", "Cliff"
"径","https://www.wanikani.com/kanji/%E5%BE%84","彳", "Loiter"
"奈","https://www.wanikani.com/kanji/%E5%A5%88","大", "Big"
"醸","https://www.wanikani.com/kanji/%E9%86%B8","酉", "Alcohol"
"操","https://www.wanikani.com/kanji/%E6%93%8D","扌", "Nailbat"
"蟹","https://www.wanikani.com/kanji/%E8%9F%B9","虫", "Insect"
"隠","https://www.wanikani.com/kanji/%E9%9A%A0","阝", "Butcher"
"枠","https://www.wanikani.com/kanji/%E6%9E%A0","九", "Nine"
"宇","https://www.wanikani.com/kanji/%E5%AE%87","宀", "Helmet"
"抜","https://www.wanikani.com/kanji/%E6%8A%9C","友", "Friend"
"宝","https://www.wanikani.com/kanji/%E5%AE%9D","王", "King"
"漆","https://www.wanikani.com/kanji/%E6%BC%86","Hat"
"促","https://www.wanikani.com/kanji/%E4%BF%83","ｲ", "Leader"
"漸","https://www.wanikani.com/kanji/%E6%BC%B8","氵", "Tsunami"
"迅","https://www.wanikani.com/kanji/%E8%BF%85","Water Slide"
"響","https://www.wanikani.com/kanji/%E9%9F%BF","音", "Sound"
"探","https://www.wanikani.com/kanji/%E6%8E%A2","兀", "Pi"
"惰","https://www.wanikani.com/kanji/%E6%83%B0","忄", "Fish Stick"
"革","https://www.wanikani.com/kanji/%E9%9D%A9","革", "Leather"
"茜","https://www.wanikani.com/kanji/%E8%8C%9C","西", "West"
"冷","https://www.wanikani.com/kanji/%E5%86%B7","冫", "Ice"
"峰","https://www.wanikani.com/kanji/%E5%B3%B0","山", "Mountain"
"謡","https://www.wanikani.com/kanji/%E8%AC%A1","Satellite"
"菌","https://www.wanikani.com/kanji/%E8%8F%8C","禾", "Pine"
"合","https://www.wanikani.com/kanji/%E5%90%88","合", "Suit"
"溝","https://www.wanikani.com/kanji/%E6%BA%9D","冓", "Circus"
"妥","https://www.wanikani.com/kanji/%E5%A6%A5","Cleat"
"杏","https://www.wanikani.com/kanji/%E6%9D%8F","口", "Mouth"
"匿","https://www.wanikani.com/kanji/%E5%8C%BF","右", "Right"
"芽","https://www.wanikani.com/kanji/%E8%8A%BD","牙", "Fang"
"洋","https://www.wanikani.com/kanji/%E6%B4%8B","羊", "Sheep"
"細","https://www.wanikani.com/kanji/%E7%B4%B0","田", "Rice Paddy"
"相","https://www.wanikani.com/kanji/%E7%9B%B8","目", "Eye"
"逝","https://www.wanikani.com/kanji/%E9%80%9D","Water Slide"
"栄","https://www.wanikani.com/kanji/%E6%A0%84","Viking"
"寂","https://www.wanikani.com/kanji/%E5%AF%82","又", "Stool"
"排","https://www.wanikani.com/kanji/%E6%8E%92","非", "Injustice"
"訟","https://www.wanikani.com/kanji/%E8%A8%9F","言", "Say"
"侍","https://www.wanikani.com/kanji/%E4%BE%8D","ｲ", "Leader"
"暁","https://www.wanikani.com/kanji/%E6%9A%81","尭", "Gambler"
"齢","https://www.wanikani.com/kanji/%E9%BD%A2","歯", "Tooth"
"憂","https://www.wanikani.com/kanji/%E6%86%82","一", "Ground"
"懲","https://www.wanikani.com/kanji/%E6%87%B2","山", "Mountain"
"必","https://www.wanikani.com/kanji/%E5%BF%85","心", "Heart"
"畑","https://www.wanikani.com/kanji/%E7%95%91","火", "Fire"
"臨","https://www.wanikani.com/kanji/%E8%87%A8","Gun"
"人","https://www.wanikani.com/kanji/%E4%BA%BA","人", "Person"
"漆","https://www.wanikani.com/kanji/%E6%BC%86","木", "Tree"
"差","https://www.wanikani.com/kanji/%E5%B7%AE","工", "Construction"
"沈","https://www.wanikani.com/kanji/%E6%B2%88","氵", "Tsunami"
"柱","https://www.wanikani.com/kanji/%E6%9F%B1","木", "Tree"
"室","https://www.wanikani.com/kanji/%E5%AE%A4","土", "Grave"
"渇","https://www.wanikani.com/kanji/%E6%B8%87","勹", "Enclosure"
"解","https://www.wanikani.com/kanji/%E8%A7%A3","牛", "Cow"
"党","https://www.wanikani.com/kanji/%E5%85%9A","Viking"
"笠","https://www.wanikani.com/kanji/%E7%AC%A0","立", "Stand"
"育","https://www.wanikani.com/kanji/%E8%82%B2","Boob"
"労","https://www.wanikani.com/kanji/%E5%8A%B4","力", "Power"
"楽","https://www.wanikani.com/kanji/%E6%A5%BD","白", "White"
"塚","https://www.wanikani.com/kanji/%E5%A1%9A","豕", "Pig"
"尚","https://www.wanikani.com/kanji/%E5%B0%9A","Triceratops"
"鶴","https://www.wanikani.com/kanji/%E9%B6%B4","宀", "Helmet"
"仮","https://www.wanikani.com/kanji/%E4%BB%AE","反", "Devil"
"怒","https://www.wanikani.com/kanji/%E6%80%92","又", "Stool"
"弔","https://www.wanikani.com/kanji/%E5%BC%94","Stick"
"璃","https://www.wanikani.com/kanji/%E7%92%83","王", "King"
"粒","https://www.wanikani.com/kanji/%E7%B2%92","立", "Stand"
"祭","https://www.wanikani.com/kanji/%E7%A5%AD","癶", "Tent"
"短","https://www.wanikani.com/kanji/%E7%9F%AD","矢", "Arrow"
"酒","https://www.wanikani.com/kanji/%E9%85%92","酉", "Alcohol"
"達","https://www.wanikani.com/kanji/%E9%81%94","幸", "Happiness"
"想","https://www.wanikani.com/kanji/%E6%83%B3","木", "Tree"
"賊","https://www.wanikani.com/kanji/%E8%B3%8A","十", "Cross"
"傲","https://www.wanikani.com/kanji/%E5%82%B2","土", "Grave"
"岳","https://www.wanikani.com/kanji/%E5%B2%B3","山", "Mountain"
"制","https://www.wanikani.com/kanji/%E5%88%B6","巾", "Two Face"
"哉","https://www.wanikani.com/kanji/%E5%93%89","口", "Mouth"
"学","https://www.wanikani.com/kanji/%E5%AD%A6","Viking"
"書","https://www.wanikani.com/kanji/%E6%9B%B8","日", "Sun"
"俺","https://www.wanikani.com/kanji/%E4%BF%BA","乚", "Umbrella"
"昭","https://www.wanikani.com/kanji/%E6%98%AD","日", "Sun"
"寡","https://www.wanikani.com/kanji/%E5%AF%A1","宀", "Helmet"
"尋","https://www.wanikani.com/kanji/%E5%B0%8B","寸", "Measurement"
"像","https://www.wanikani.com/kanji/%E5%83%8F","免", "Excuse"
"即","https://www.wanikani.com/kanji/%E5%8D%B3","艮", "Good"
"芸","https://www.wanikani.com/kanji/%E8%8A%B8","云", "Boobs"
"埼","https://www.wanikani.com/kanji/%E5%9F%BC","土", "Grave"
"俵","https://www.wanikani.com/kanji/%E4%BF%B5","Kick"
"憲","https://www.wanikani.com/kanji/%E6%86%B2","生", "Life"
"熊","https://www.wanikani.com/kanji/%E7%86%8A","能", "Ability"
"殻","https://www.wanikani.com/kanji/%E6%AE%BB","几", "Table"
"埋","https://www.wanikani.com/kanji/%E5%9F%8B","土", "Grave"
"左","https://www.wanikani.com/kanji/%E5%B7%A6","ナ", "Narwhal"
"炉","https://www.wanikani.com/kanji/%E7%82%89","火", "Fire"
"源","https://www.wanikani.com/kanji/%E6%BA%90","氵", "Tsunami"
"慈","https://www.wanikani.com/kanji/%E6%85%88","幺", "Poop"
"壇","https://www.wanikani.com/kanji/%E5%A3%87","土", "Grave"
"盾","https://www.wanikani.com/kanji/%E7%9B%BE","厂", "Cliff"
"掌","https://www.wanikani.com/kanji/%E6%8E%8C","Viking"
"絶","https://www.wanikani.com/kanji/%E7%B5%B6","色", "Color"
"嫌","https://www.wanikani.com/kanji/%E5%AB%8C","女", "Woman"
"擬","https://www.wanikani.com/kanji/%E6%93%AC","マ", "Mama"
"唱","https://www.wanikani.com/kanji/%E5%94%B1","口", "Mouth"
"徳","https://www.wanikani.com/kanji/%E5%BE%B3","心", "Heart"
"所","https://www.wanikani.com/kanji/%E6%89%80","斤", "Axe"
"化","https://www.wanikani.com/kanji/%E5%8C%96","匕", "Spoon"
"妻","https://www.wanikani.com/kanji/%E5%A6%BB","聿", "Brush"
"破","https://www.wanikani.com/kanji/%E7%A0%B4","石", "Stone"
"河","https://www.wanikani.com/kanji/%E6%B2%B3","可", "Lip Ring"
"質","https://www.wanikani.com/kanji/%E8%B3%AA","斤", "Axe"
"響","https://www.wanikani.com/kanji/%E9%9F%BF","阝", "Butcher"
